OID_	IDENT	NAME	UPPER_DESC	UPPER_VAL	UPPER_UOM	UPPER_CODE	LOWER_DESC	LOWER_VAL	LOWER_UOM	LOWER_CODE	TYPE_CODE	LOCAL_TYPE	CLASS	MIL_CODE	COMM_NAME	LEVEL	SECTOR	ONSHORE	EXCLUSION	WKHR_CODE	WKHR_RMK	DST	GMTOFFSET	SHAPE_Leng	SHAPE_Area	AirCheck
4812	PDX	PORTLAND CLASS E3	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E3	E	CIV	 	L	 	1	0	H24	 	 	 	0.99603143	0.047817378	Fail
4813	SCK	STOCKTON CLASS E2	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E2	E	CIV	 	L	 	1	0	H24	 	 	 	0.535326257	0.022347861	Fail
4814	 	HAMPTON CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.794343373	0.048505815	Pass
4815	 	HARLAN CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.7857735	0.047653173	Pass
4816	VUO	VANCOUVER CLASS E2	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E2	E	CIV	 	L	 	1	0	H24	 	 	 	0.561117381	0.015966667	Fail
4817	 	NEWBERRY CLASS E6	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E6	E	CIV	 	L	 	1	0	H24	 	 	 	4.912522142	1.411634066	Pass
4818	 	BREMERTON CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.238579305	0.002461611	Pass
4819	 	BREMERTON CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.25714052	0.003268784	Pass
4820	 	HART/SHELBY CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.751545061	0.043268444	Pass
4821	 	IOWA FALLS CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.780018217	0.046814674	Pass
4822	PWT	BREMERTON CLASS E2	AA	-9998	 	 	 	0	FT	SFC	CLASS	CLASS_E2	E	CIV	 	L	 	1	0	H24	Legal description references NOTAM	 	 	0.725741334	0.028724521	Fail
4823	 	JONESBORO CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.720484654	0.040902838	Pass
4824	BUR	BURBANK CLASS C	TI	4800	FT	MSL	 	0	FT	SFC	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.608237431	0.022007774	Fail
4825	BUR	BURBANK CLASS C	TI	4800	FT	MSL	 	3500	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.262890717	0.002111442	Pass
4826	 	KNOXVILLE CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.832692126	0.053563834	Pass
4827	BUR	BURBANK CLASS C	TI	4800	FT	MSL	 	3000	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	1.371946391	0.035565956	Pass
4828	PDX	PORTLAND INTERNATIONAL AIRPORT CLASS C	TI	4000	FT	MSL	 	0	FT	SFC	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.83071082	0.026377979	Fail
